trial_uid,session_id,participant_code,trial_index,trial_type,prompt_id,prompt_typing_order,length_class,condition,prompt_source,prompt_text,prompt_length,event_count,final_reconstructed_text,final_prefix_match_len,final_resulting_text_length,qc_prompt_available_ok,qc_event_index_ok,qc_time_monotonic_ok,qc_append_pop_ok,qc_reconstruction_ok,qc_exact_match_ok,all_core_qc_ok
20260419141512-jt34p4__0__PRACTICE,20260419141512-jt34p4,ก้องฟ้า,0,practice,PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,วันนี้อากาศดีและฉันพร้อมเริ่มการทดลอง,37,37,1,1,1,1,1,1,1
20260419141512-jt34p4__1__P01,20260419141512-jt34p4,ก้องฟ้า,1,main,P01,1,short,familiar_baseline,prompt_table,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,วันนี้เราจะทำการบ้านให้เสร็จ,28,28,1,1,1,1,1,1,1
20260419141512-jt34p4__2__P02,20260419141512-jt34p4,ก้องฟ้า,2,main,P02,2,short,familiar_polite,prompt_table,กรุณาตอบกลับภายในวันนี้,23,23,กรุณาตอบกลับภายในวันนี้,23,23,1,1,1,1,1,1,1
20260419141512-jt34p4__3__P04,20260419141512-jt34p4,ก้องฟ้า,3,main,P04,3,short,orthographic_named_entity,prompt_table,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,31,นิสิตจากจุฬาลงกรณ์มหาวิทยาลัย,29,29,1,1,1,1,1,1,1
20260419141512-jt34p4__4__P03,20260419141512-jt34p4,ก้องฟ้า,4,main,P03,4,short,formal_register,prompt_table,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,38,ขอความกรุณาจัดทำเอกสารดังกล่าว,30,30,1,1,1,1,1,1,1
20260419141512-jt34p4__5__P05,20260419141512-jt34p4,ก้องฟ้า,5,main,P05,5,short,twisted_proverb,prompt_table,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,33,เข้าเมืองตาหลิ่ว ต้องหลิ่วมาตาม,31,31,1,1,1,1,1,1,1
20260419141512-jt34p4__6__P09,20260419141512-jt34p4,ก้องฟ้า,6,main,P09,6,medium,arabic_numerals,prompt_table,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,48,ชั้นมัธยมศึกษาปีที่ 6 จะส่งรายงานจำนวน 10 หน้า,46,46,1,1,1,1,1,1,1
20260419141512-jt34p4__7__P11,20260419141512-jt34p4,ก้องฟ้า,7,main,P11,7,medium,rhythmic_repetition,prompt_table,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,วันนี้ผมทักผมรักผมรอ วันไหนผมท้อผมพอผมลา,40,40,1,1,1,1,1,1,1
20260419141512-jt34p4__8__P10,20260419141512-jt34p4,ก้องฟ้า,8,main,P10,8,medium,thai_numerals,prompt_table,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,74,ชั้นมัธยมศึกษาปีที่ ๖ จะส่งรายงานจำนวน ๑๐ หน้า,46,46,1,1,1,1,1,1,1
20260419141512-jt34p4__9__P06,20260419141512-jt34p4,ก้องฟ้า,9,main,P06,9,medium,mixed_symbols_identification,prompt_table,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,68,นักเรียน ม.5/6 ช่วยตรวจสอบ ชื่อ-สกุล ของตัวเองด้วยนะ,52,52,1,1,1,1,1,1,1
20260419141512-jt34p4__10__P08,20260419141512-jt34p4,ก้องฟ้า,10,main,P08,10,medium,formal_lexical_difficulty,prompt_table,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,62,ขอความร่วมมือจัดเตรียมเอกสารเพื่อเป็นวิทยาทานแก่นักเรียน,56,56,1,1,1,1,1,1,1
20260419141512-jt34p4__11__P07,20260419141512-jt34p4,ก้องฟ้า,11,main,P07,11,medium,formal_educational,prompt_table,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,78,นักเรียนพึงศึกษาเล่าเรียนอย่างสม่ำเสมอเพื่อเตรียมความพร้อมในการสอบ,66,66,1,1,1,1,1,1,1
