prompt_id,prompt_typing_order,length_class,condition,prompt_source,prompt_position,prompt_position_1based,char_j,prev_char_j,map_id_j,unicode_codepoint_j,unicode_name_j,script_family_j,char_class_j,layout_required_j,shift_required_j,preferred_for_prompt_demand_j,physical_key_id_j,distance_node_id_j,key_row_j,key_column_index_j,zone_proxy_j,hand_proxy_j,is_space_j,is_thai_script_j,is_english_script_j,is_punctuation_or_symbol_j,project_layout_preference_j,char_map_candidate_count_j,char_map_top_rule_candidate_count_j,char_map_ambiguous_j,char_map_rule_tied_j,char_map_resolution_note_j,char_map_resolved_with_fallback_j,prev_map_id_j,prev_unicode_codepoint_j,prev_unicode_name_j,prev_script_family_j,prev_char_class_j,prev_layout_required_j,prev_shift_required_j,prev_preferred_for_prompt_demand_j,prev_physical_key_id_j,prev_distance_node_id_j,prev_key_row_j,prev_key_column_index_j,prev_zone_proxy_j,prev_hand_proxy_j,prev_is_space_j,prev_is_thai_script_j,prev_is_english_script_j,prev_is_punctuation_or_symbol_j,prev_project_layout_preference_j,prev_char_map_candidate_count_j,prev_char_map_top_rule_candidate_count_j,prev_char_map_ambiguous_j,prev_char_map_rule_tied_j,prev_char_map_resolution_note_j,prev_char_map_resolved_with_fallback_j,distance_from_prev_correct_j,layout_switch_into_j,distance_from_prev_bin_j
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,0,1,ว,,TH_Semicolon_base,U+0E27,THAI CHARACTER WO WAEN,thai,thai_consonant,TH,0.0,1.0,Semicolon,Semicolon,home,9.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,1,2,ั,ว,TH_KeyY_base,U+0E31,THAI CHARACTER MAI HAN-AKAT,thai,thai_vowel_mark,TH,0.0,1.0,KeyY,KeyY,top,5.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_Semicolon_base,U+0E27,THAI CHARACTER WO WAEN,thai,thai_consonant,TH,0.0,1.0,Semicolon,Semicolon,home,9.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,4.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,2,3,น,ั,TH_KeyO_base,U+0E19,THAI CHARACTER NO NU,thai,thai_consonant,TH,0.0,1.0,KeyO,KeyO,top,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyY_base,U+0E31,THAI CHARACTER MAI HAN-AKAT,thai,thai_vowel_mark,TH,0.0,1.0,KeyY,KeyY,top,5.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,3.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,3,4,น,น,TH_KeyO_base,U+0E19,THAI CHARACTER NO NU,thai,thai_consonant,TH,0.0,1.0,KeyO,KeyO,top,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyO_base,U+0E19,THAI CHARACTER NO NU,thai,thai_consonant,TH,0.0,1.0,KeyO,KeyO,top,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,0.0,0.0,low
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,4,5,ี,น,TH_KeyU_base,U+0E35,THAI CHARACTER SARA II,thai,thai_vowel_mark,TH,0.0,1.0,KeyU,KeyU,top,6.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyO_base,U+0E19,THAI CHARACTER NO NU,thai,thai_consonant,TH,0.0,1.0,KeyO,KeyO,top,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,2.0,0.0,medium
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,5,6,้,ี,TH_KeyH_base,U+0E49,THAI CHARACTER MAI THO,thai,thai_tone_mark,TH,0.0,1.0,KeyH,KeyH,home,5.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyU_base,U+0E35,THAI CHARACTER SARA II,thai,thai_vowel_mark,TH,0.0,1.0,KeyU,KeyU,top,6.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,1.0,0.0,low
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,6,7,อ,้,TH_KeyV_base,U+0E2D,THAI CHARACTER O ANG,thai,thai_consonant,TH,0.0,1.0,KeyV,KeyV,bottom,3.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyH_base,U+0E49,THAI CHARACTER MAI THO,thai,thai_tone_mark,TH,0.0,1.0,KeyH,KeyH,home,5.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,2.0,0.0,medium
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,7,8,า,อ,TH_KeyK_base,U+0E32,THAI CHARACTER SARA AA,thai,thai_vowel_mark,TH,0.0,1.0,KeyK,KeyK,home,7.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyV_base,U+0E2D,THAI CHARACTER O ANG,thai,thai_consonant,TH,0.0,1.0,KeyV,KeyV,bottom,3.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,4.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,8,9,ก,า,TH_KeyD_base,U+0E01,THAI CHARACTER KO KAI,thai,thai_consonant,TH,0.0,1.0,KeyD,KeyD,home,2.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyK_base,U+0E32,THAI CHARACTER SARA AA,thai,thai_vowel_mark,TH,0.0,1.0,KeyK,KeyK,home,7.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,5.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,9,10,า,ก,TH_KeyK_base,U+0E32,THAI CHARACTER SARA AA,thai,thai_vowel_mark,TH,0.0,1.0,KeyK,KeyK,home,7.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyD_base,U+0E01,THAI CHARACTER KO KAI,thai,thai_consonant,TH,0.0,1.0,KeyD,KeyD,home,2.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,5.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,10,11,ศ,า,TH_KeyL_shift,U+0E28,THAI CHARACTER SO SALA,thai,thai_consonant,TH,1.0,1.0,KeyL,KeyL,home,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyK_base,U+0E32,THAI CHARACTER SARA AA,thai,thai_vowel_mark,TH,0.0,1.0,KeyK,KeyK,home,7.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,1.0,0.0,low
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,11,12,ด,ศ,TH_KeyF_base,U+0E14,THAI CHARACTER DO DEK,thai,thai_consonant,TH,0.0,1.0,KeyF,KeyF,home,3.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyL_shift,U+0E28,THAI CHARACTER SO SALA,thai,thai_consonant,TH,1.0,1.0,KeyL,KeyL,home,8.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,5.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,12,13,ี,ด,TH_KeyU_base,U+0E35,THAI CHARACTER SARA II,thai,thai_vowel_mark,TH,0.0,1.0,KeyU,KeyU,top,6.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyF_base,U+0E14,THAI CHARACTER DO DEK,thai,thai_consonant,TH,0.0,1.0,KeyF,KeyF,home,3.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,3.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,13,14,แ,ี,TH_KeyC_base,U+0E41,THAI CHARACTER SARA AE,thai,thai_vowel_mark,TH,0.0,1.0,KeyC,KeyC,bottom,2.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyU_base,U+0E35,THAI CHARACTER SARA II,thai,thai_vowel_mark,TH,0.0,1.0,KeyU,KeyU,top,6.0,center,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,4.0,0.0,high
PRACTICE,0,practice,practice_warmup,recovered_from_event_log_consensus,14,15,ล,แ,TH_BracketRight_base,U+0E25,THAI CHARACTER LO LING,thai,thai_consonant,TH,0.0,1.0,BracketRight,BracketRight,top,11.0,right,right,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,TH_KeyC_base,U+0E41,THAI CHARACTER SARA AE,thai,thai_vowel_mark,TH,0.0,1.0,KeyC,KeyC,bottom,2.0,left,left,0.0,1.0,0.0,0.0,TH,1.0,1.0,0.0,0.0,unique,0.0,9.0,0.0,high
